"2015.12.15","04:30","GBP","L","Core CPI y/y","1.2%","1.2%","1.1%","","55812"
"2016.01.19","04:30","GBP","H","CPI y/y","0.2%","0.1%","0.1%","","59781"
"2016.01.19","04:30","GBP","L","Core CPI y/y","1.4%","1.2%","1.2%","","59782"
"2016.02.16","05:30","GBP","H","CPI y/y","0.3%","0.3%","0.2%","","59789"
"2016.02.16","05:30","GBP","L","Core CPI y/y","1.2%","1.3%","1.4%","","59787"
"2016.03.22","05:30","GBP","H","CPI y/y","0.3%","0.4%","0.3%","","59793"
"2016.03.22","05:30","GBP","L","Core CPI y/y","1.2%","1.2%","1.2%","","59794"
"2016.04.12","04:30","GBP","H","CPI y/y","0.5%","0.3%","0.3%","","59799"
"2016.04.12","04:30","GBP","L","Core CPI y/y","1.5%","1.3%","1.2%","","59800"
"2016.05.17","04:30","GBP","H","CPI y/y","0.3%","0.5%","0.5%","","59807"
"2016.05.17","04:30","GBP","L","Core CPI y/y","1.2%","1.5%","1.5%","","59805"
"2016.06.14","04:30","GBP","H","CPI y/y","0.3%","0.4%","0.3%","","59812"
"2016.06.14","04:30","GBP","L","Core CPI y/y","1.2%","1.3%","1.2%","","59811"
"2016.07.19","04:30","GBP","H","CPI y/y","0.5%","0.4%","0.3%","","59818"
"2016.07.19","04:30","GBP","L","Core CPI y/y","1.4%","1.3%","1.2%","","59817"
"2016.08.16","04:30","GBP","H","CPI y/y","0.6%","0.5%","0.5%","","59824"
"2016.08.16","04:30","GBP","L","Core CPI y/y","1.3%","1.3%","1.4%","","59823"
"2016.09.13","04:30","GBP","H","CPI y/y","0.6%","0.7%","0.6%","","59832"
"2016.09.13","04:30","GBP","L","Core CPI y/y","1.3%","1.4%","1.3%","","59829"
"2016.10.18","03:30","GBP","H","CPI y/y","1.0%","0.9%","0.6%","","59840"
"2016.10.18","03:30","GBP","L","Core CPI y/y","1.5%","1.4%","1.3%","","59839"
"2016.11.15","04:30","GBP","H","CPI y/y","0.9%","1.1%","1.0%","","59842"
"2016.11.15","04:30","GBP","L","Core CPI y/y","1.2%","1.4%","1.5%","","59841"
"2016.12.13","04:30","GBP","H","CPI y/y","1.2%","1.1%","0.9%","","59848"
"2016.12.13","04:30","GBP","L","Core CPI y/y","1.4%","1.3%","1.2%","","59847"
"2017.01.17","04:30","GBP","H","CPI y/y","1.6%","1.4%","1.2%","","65358"
"2017.01.17","04:30","GBP","L","Core CPI y/y","1.6%","1.4%","1.4%","","65357"
"2017.02.14","04:30","GBP","H","CPI y/y","1.8%","1.9%","1.6%","","65375"
"2017.02.14","04:30","GBP","L","Core CPI y/y","1.6%","1.7%","1.6%","","65374"
"2017.03.21","05:30","GBP","H","CPI y/y","2.3%","2.1%","1.8%","","65395"
